,productivity,utility,coverage,harmonic_mean
nijak,0.9667,0.6333,0.0001,0.0001
nepodporuje,0.9667,0.6333,0.0001,0.0001
Seibert,1.0,0.6667,0.0001,0.0001
Nad,1.0,0.6667,0.0001,0.0001
PacSun,1.0,0.6667,0.0001,0.0001
Kafka,1.0,0.6667,0.0001,0.0001
kostela,0.9857,0.6524,0.0001,0.0001
"(2014),",1.0,0.6667,0.0001,0.0001
Fine,1.0,0.6667,0.0001,0.0001
Björk,1.0,0.6667,0.0001,0.0001
rašeliny,1.0,0.6667,0.0001,0.0001
spojováno,0.96,0.6267,0.0001,0.0001
Believe,1.0,0.6667,0.0001,0.0001
Varun,1.0,0.6667,0.0001,0.0001
Dulhania,0.9324,0.599,0.0001,0.0001
Jayenge,0.9324,0.599,0.0001,0.0001
Dilwale,0.9324,0.599,0.0001,0.0001
hraný,0.8907,0.5574,0.0001,0.0001
dětskou,0.944,0.6107,0.0001,0.0001
učitelkou,0.8524,0.519,0.0001,0.0001
Vrchol,0.7983,0.465,0.0001,0.0001
válečná,0.7974,0.464,0.0001,0.0001
rezervy,0.8448,0.5114,0.0001,0.0001
nedokončil,0.7733,0.44,0.0001,0.0001
Bobem,0.78,0.4467,0.0001,0.0001
natáčí,0.7529,0.4195,0.0001,0.0001
instrumentální,0.7971,0.4638,0.0001,0.0001
atentátu,0.7289,0.3956,0.0001,0.0001
ničí,0.7012,0.3679,0.0001,0.0001
Království,0.6733,0.34,0.0001,0.0001
uchazečem,0.6729,0.3395,0.0001,0.0001
Squad,0.6588,0.3255,0.0001,0.0001
průmyslovým,0.8205,0.4871,0.0001,0.0001
Mae,0.6448,0.3114,0.0001,0.0001
Hana,0.6448,0.3114,0.0001,0.0001
pozitivně,0.6605,0.3271,0.0001,0.0001
"Wilson,",0.6379,0.3045,0.0001,0.0001
"států,",0.785,0.4517,0.0001,0.0001
výstavě,0.6389,0.3056,0.0001,0.0001
hlubokém,0.5981,0.2648,0.0001,0.0001
východu,0.6312,0.2979,0.0001,0.0001
dramatika,0.6642,0.3308,0.0001,0.0001
Southpaw,0.6898,0.3564,0.0001,0.0001
internetový,0.6258,0.2925,0.0001,0.0001
Stoneem,0.6271,0.2938,0.0001,0.0001
Wilhelmina,0.6398,0.3064,0.0001,0.0001
Kinect,0.6071,0.2738,0.0001,0.0001
šampionem,0.6945,0.3612,0.0001,0.0001
rapový,0.585,0.2517,0.0001,0.0001
dvaceti,0.585,0.2517,0.0001,0.0001
nízký,0.585,0.2517,0.0001,0.0001
Ledgera,0.585,0.2517,0.0001,0.0001
vyžádání,0.585,0.2517,0.0001,0.0001
Libanonská,0.59,0.2567,0.0001,0.0001
zahraničním,0.59,0.2567,0.0001,0.0001
strukturální,0.59,0.2567,0.0001,0.0001
návrhu,0.6221,0.2888,0.0001,0.0001
nejslavnější,0.5779,0.2445,0.0001,0.0001
Ana,0.6038,0.2705,0.0001,0.0001
úkolů,0.6093,0.276,0.0001,0.0001
Lisabonské,0.615,0.2817,0.0001,0.0001
platinových,0.5719,0.2386,0.0001,0.0001
Precious,0.5771,0.2438,0.0001,0.0001
interakci,0.61,0.2767,0.0001,0.0001
pár,0.5929,0.2595,0.0001,0.0001
Lisy,0.6002,0.2669,0.0001,0.0001
"skupiny,",0.5917,0.2583,0.0001,0.0001
kosmetických,0.633,0.2996,0.0001,0.0001
konal,0.5614,0.2281,0.0001,0.0001
Bennet,0.5979,0.2645,0.0001,0.0001
dostalo,0.5488,0.2155,0.0001,0.0001
Raye,0.6079,0.2745,0.0001,0.0001
začlenění,0.6079,0.2745,0.0001,0.0001
ucházel,0.5595,0.2262,0.0001,0.0001
rozhovoru,0.5405,0.2071,0.0001,0.0001
Suffolku,0.5419,0.2086,0.0001,0.0001
37,0.5248,0.1914,0.0001,0.0001
vdova,0.5643,0.231,0.0001,0.0001
dala,0.5388,0.2055,0.0001,0.0001
Donaldem,0.6129,0.2795,0.0001,0.0001
bytí,0.6129,0.2795,0.0001,0.0001
Capital,0.5371,0.2038,0.0001,0.0001
Nickelodeonu,0.5805,0.2471,0.0001,0.0001
Meet,0.5445,0.2112,0.0001,0.0001
systémů,0.6025,0.2692,0.0001,0.0001
nemocí,0.6157,0.2824,0.0001,0.0001
autorkou,0.5333,0.2,0.0001,0.0001
oživen,0.5225,0.1892,0.0001,0.0001
Orsona,0.5155,0.1821,0.0001,0.0001
geografii,0.5167,0.1833,0.0001,0.0001
Miniony,0.6207,0.2874,0.0001,0.0001
papežem,0.4971,0.1638,0.0001,0.0001
trestní,0.5071,0.1738,0.0001,0.0001
Tardigrade,0.5463,0.213,0.0001,0.0001
mocí,0.5095,0.1762,0.0001,0.0001
Sant,0.4876,0.1543,0.0001,0.0001
napadení,0.52,0.1867,0.0001,0.0001
důstojníků,0.52,0.1867,0.0001,0.0001
historicky,0.5357,0.2024,0.0001,0.0001
Keysová,0.6354,0.302,0.0001,0.0001
Arábie,0.5038,0.1705,0.0001,0.0001
popisován,0.4895,0.1562,0.0001,0.0001
fiskální,0.4829,0.1495,0.0001,0.0001
poloviny,0.4629,0.1295,0.0001,0.0001
rozdělila,0.46,0.1267,0.0001,0.0001
Francisem,0.4889,0.1556,0.0001,0.0001
stará,0.4824,0.149,0.0001,0.0001
distributorem,0.5145,0.1812,0.0001,0.0001
dvojí,0.4962,0.1629,0.0001,0.0001
Jeremyho,0.5157,0.1824,0.0001,0.0001
BRIT,0.4929,0.1595,0.0001,0.0001
průzkumník,0.4695,0.1362,0.0001,0.0001
zařízeními,0.5024,0.169,0.0001,0.0001
Evolution,0.5208,0.1875,0.0001,0.0001
aminy,0.4467,0.1133,0.0001,0.0001
adventura,0.4508,0.1175,0.0001,0.0001
Lisabonu,0.4562,0.1229,0.0001,0.0001
Čínský,0.4562,0.1229,0.0001,0.0001
Childish,0.4995,0.1662,0.0001,0.0001
koncept,0.457,0.1237,0.0001,0.0001
Quinna,0.4624,0.129,0.0001,0.0001
Švédská,0.4629,0.1295,0.0001,0.0001
složena,0.43,0.0967,0.0001,0.0001
Emmou,0.4895,0.1562,0.0001,0.0001
produkovány,0.4329,0.0995,0.0001,0.0001
přitahuje,0.439,0.1057,0.0001,0.0001
skutečného,0.41,0.0767,0.0001,0.0001
Clueless,0.469,0.1357,0.0001,0.0001
Hráči,0.44,0.1067,0.0001,0.0001
dost,0.46,0.1267,0.0001,0.0001
abecedy,0.4195,0.0862,0.0001,0.0001
AMGTV,1.0,0.6667,0.0001,0.0001
hlukem,1.0,0.6667,0.0001,0.0001
Vick,1.0,0.6667,0.0001,0.0001
Sofía,1.0,0.6667,0.0001,0.0001
Vergara,1.0,0.6667,0.0001,0.0001
Oběť,1.0,0.6667,0.0001,0.0001
umírá,1.0,0.6667,0.0001,0.0001
evakuováni,1.0,0.6667,0.0001,0.0001
Zásady,1.0,0.6667,0.0001,0.0001
"přítele,",1.0,0.6667,0.0001,0.0001
"Každý,",1.0,0.6667,0.0001,0.0001
Aix-Marseille-Provence,1.0,0.6667,0.0001,0.0001
Turnpike,1.0,0.6667,0.0001,0.0001
Nanjiani,1.0,0.6667,0.0001,0.0001
Kumail,1.0,0.6667,0.0001,0.0001
Sorority,1.0,0.6667,0.0001,0.0001
světelný,0.9524,0.619,0.0001,0.0001
Bostonians,1.0,0.6667,0.0001,0.0001
Rhythm,0.9115,0.5782,0.0001,0.0001
"Dallas,",1.0,0.6667,0.0001,0.0001
Bane,0.8624,0.529,0.0001,0.0001
ovcí,0.7924,0.459,0.0001,0.0001
Range,0.7908,0.4575,0.0001,0.0001
neexistuje,0.7933,0.46,0.0001,0.0001
vzdělávacích,0.7933,0.46,0.0001,0.0001
vydáván,0.8288,0.4955,0.0001,0.0001
stínů,0.8,0.4667,0.0001,0.0001
dostupná,0.8,0.4667,0.0001,0.0001
Eyes,0.8299,0.4965,0.0001,0.0001
přáteli,0.814,0.4807,0.0001,0.0001
současnou,0.8067,0.4733,0.0001,0.0001
Gyllenhaala,0.7764,0.4431,0.0001,0.0001
"World,",0.7583,0.425,0.0001,0.0001
městských,0.7729,0.4395,0.0001,0.0001
studován,0.7067,0.3733,0.0001,0.0001
estetiku,0.7171,0.3838,0.0001,0.0001
Bran,0.7,0.3667,0.0001,0.0001
fyzického,0.7943,0.461,0.0001,0.0001
existenci,0.685,0.3517,0.0001,0.0001
metody,0.7814,0.4481,0.0001,0.0001
inženýrů,0.7148,0.3814,0.0001,0.0001
rolemi,0.6781,0.3448,0.0001,0.0001
mostu,0.6862,0.3529,0.0001,0.0001
situacích,0.6525,0.3192,0.0001,0.0001
1858,0.7414,0.4081,0.0001,0.0001
×,0.6799,0.3465,0.0001,0.0001
hlasového,0.6671,0.3338,0.0001,0.0001
rozbočovač,0.6395,0.3062,0.0001,0.0001
"1,7%",0.6617,0.3283,0.0001,0.0001
investice,0.6033,0.27,0.0001,0.0001
tančit,0.6181,0.2848,0.0001,0.0001
Mountains,0.6181,0.2848,0.0001,0.0001
ovládána,0.6,0.2667,0.0001,0.0001
rocku“,0.5981,0.2648,0.0001,0.0001
Suzanne,0.5967,0.2633,0.0001,0.0001
(2002),0.704,0.3707,0.0001,0.0001
jíst,0.69,0.3567,0.0001,0.0001
rostlin,0.59,0.2567,0.0001,0.0001
Smurfs,0.6171,0.2838,0.0001,0.0001
Beasts,0.6863,0.353,0.0001,0.0001
Osoba,0.6911,0.3577,0.0001,0.0001
Venuši,0.6221,0.2888,0.0001,0.0001
veškeré,0.6,0.2667,0.0001,0.0001
životním,0.6,0.2667,0.0001,0.0001
vše,0.6,0.2667,0.0001,0.0001
hlasovým,0.6,0.2667,0.0001,0.0001
kdekoli,0.5843,0.251,0.0001,0.0001
léty,0.61,0.2767,0.0001,0.0001
(2012,0.605,0.2717,0.0001,0.0001
pozdních,0.605,0.2717,0.0001,0.0001
(Middle-earth),0.6371,0.3038,0.0001,0.0001
psem,0.6371,0.3038,0.0001,0.0001
Buckinghamském,0.6029,0.2695,0.0001,0.0001
irského,0.6,0.2667,0.0001,0.0001
pop-boy,0.615,0.2817,0.0001,0.0001
Chocolatu,0.6129,0.2795,0.0001,0.0001
Populární,0.61,0.2767,0.0001,0.0001
Petrohradě,0.6079,0.2745,0.0001,0.0001
proudu,0.6079,0.2745,0.0001,0.0001
korejská,0.6079,0.2745,0.0001,0.0001
armádou,0.5676,0.2343,0.0001,0.0001
Jurského,0.5625,0.2292,0.0001,0.0001
Horrible,0.5688,0.2355,0.0001,0.0001
alternativního,0.5567,0.2233,0.0001,0.0001
„nepochybně,0.6229,0.2895,0.0001,0.0001
tropické,0.6229,0.2895,0.0001,0.0001
režisérů,0.5738,0.2405,0.0001,0.0001
placenou,0.5267,0.1933,0.0001,0.0001
stylem,0.5271,0.1938,0.0001,0.0001
fyziky,0.6329,0.2995,0.0001,0.0001
Nancy,0.5238,0.1905,0.0001,0.0001
regulován,0.5638,0.2305,0.0001,0.0001
tajemná,0.6257,0.2924,0.0001,0.0001
maximálně,0.6257,0.2924,0.0001,0.0001
Bosworth,0.54,0.2067,0.0001,0.0001
Burbanku,0.5486,0.2152,0.0001,0.0001
debutového,0.5276,0.1943,0.0001,0.0001
An,0.5413,0.208,0.0001,0.0001
atletka,0.5233,0.19,0.0001,0.0001
společný,0.5263,0.193,0.0001,0.0001
Legally,0.5376,0.2043,0.0001,0.0001
následky,0.52,0.1867,0.0001,0.0001
připojila,0.5429,0.2095,0.0001,0.0001
reprezentativní,0.5138,0.1805,0.0001,0.0001
Mob,0.516,0.1826,0.0001,0.0001
Wet,0.6181,0.2848,0.0001,0.0001
hollywoodské,0.5105,0.1771,0.0001,0.0001
Východní,0.5362,0.2029,0.0001,0.0001
ESPN,0.4929,0.1595,0.0001,0.0001
klubovou,0.4905,0.1571,0.0001,0.0001
uměním,0.4833,0.15,0.0001,0.0001
mrtvého,0.4671,0.1338,0.0001,0.0001
ochráncem,0.49,0.1567,0.0001,0.0001
Odtud,0.4729,0.1395,0.0001,0.0001
distribuci,0.5163,0.183,0.0001,0.0001
mocnost,0.5233,0.19,0.0001,0.0001
přistál,0.4733,0.14,0.0001,0.0001
veřejný,0.47,0.1367,0.0001,0.0001
Dánsku,0.5433,0.21,0.0001,0.0001
Suburbs,0.4729,0.1395,0.0001,0.0001
barvu,0.4833,0.15,0.0001,0.0001
"""Don't",0.4662,0.1329,0.0001,0.0001
Milwaukee,0.4529,0.1195,0.0001,0.0001
Outlanderu,0.5067,0.1733,0.0001,0.0001
vznikli,0.4824,0.149,0.0001,0.0001
zdroj,0.5119,0.1786,0.0001,0.0001
40%,0.48,0.1467,0.0001,0.0001
starého,0.46,0.1267,0.0001,0.0001
velryb,0.4857,0.1524,0.0001,0.0001
Jste,0.4567,0.1233,0.0001,0.0001
"zkušeni,",0.4567,0.1233,0.0001,0.0001
Pinkava,0.4862,0.1529,0.0001,0.0001
Gerarda,0.4867,0.1533,0.0001,0.0001
oddělené,0.4362,0.1029,0.0001,0.0001
cípu,0.509,0.1757,0.0001,0.0001
socialistických,0.4657,0.1324,0.0001,0.0001
ministerstva,0.4367,0.1033,0.0001,0.0001
Vydání,0.4662,0.1329,0.0001,0.0001
vévoda,0.4662,0.1329,0.0001,0.0001
bitva,0.4429,0.1095,0.0001,0.0001
Simpsona,0.4895,0.1562,0.0001,0.0001
Bagdád,0.4462,0.1129,0.0001,0.0001
vlastně,0.4957,0.1624,0.0001,0.0001
zasazena,0.4733,0.14,0.0001,0.0001
nulový,1.0,0.6667,0.0001,0.0001
bezdětný,1.0,0.6667,0.0001,0.0001
nezemřela,1.0,0.6667,0.0001,0.0001
nedělá,1.0,0.6667,0.0001,0.0001
nezměnila,1.0,0.6667,0.0001,0.0001
nepíše,1.0,0.6667,0.0001,0.0001
necestoval,1.0,0.6667,0.0001,0.0001
Leighová,1.0,0.6667,0.0001,0.0001
nepatří,1.0,0.6667,0.0001,0.0001
oženit,1.0,0.6667,0.0001,0.0001
Ohiem,1.0,0.6667,0.0001,0.0001
nevedl,1.0,0.6667,0.0001,0.0001
Reg,1.0,0.6667,0.0001,0.0001
1983-84,1.0,0.6667,0.0001,0.0001
Seacrest,1.0,0.6667,0.0001,0.0001
Stripes,1.0,0.6667,0.0001,0.0001
výtvarných,1.0,0.6667,0.0001,0.0001
VFX,1.0,0.6667,0.0001,0.0001
Scanline,1.0,0.6667,0.0001,0.0001
Raphaela,1.0,0.6667,0.0001,0.0001
summit,1.0,0.6667,0.0001,0.0001
Bostonian,1.0,0.6667,0.0001,0.0001
recenzovala,1.0,0.6667,0.0001,0.0001
Murda,1.0,0.6667,0.0001,0.0001
Design,1.0,0.6667,0.0001,0.0001
Stínová,1.0,0.6667,0.0001,0.0001
Clementine,1.0,0.6667,0.0001,0.0001
krizi,1.0,0.6667,0.0001,0.0001
Mercy,1.0,0.6667,0.0001,0.0001
Destiny,1.0,0.6667,0.0001,0.0001
oznámil,1.0,0.6667,0.0001,0.0001
Frenemies,1.0,0.6667,0.0001,0.0001
"důvodů,",1.0,0.6667,0.0001,0.0001
obavy,0.929,0.5957,0.0001,0.0001
AIDS,0.9007,0.5674,0.0001,0.0001
volejbal,0.7917,0.4583,0.0001,0.0001
čarodějnicemi,0.8364,0.5031,0.0001,0.0001
mraky,0.9157,0.5824,0.0001,0.0001
editor,0.789,0.4557,0.0001,0.0001
basketbalových,0.789,0.4557,0.0001,0.0001
Block,0.8764,0.5431,0.0001,0.0001
Winter's,0.8508,0.5175,0.0001,0.0001
vykreslit,0.8133,0.48,0.0001,0.0001
čínština,0.8133,0.48,0.0001,0.0001
Lo,0.8417,0.5083,0.0001,0.0001
Lay,0.78,0.4467,0.0001,0.0001
aktivistou,0.82,0.4867,0.0001,0.0001
Mighty,0.8058,0.4725,0.0001,0.0001
Snowdena,0.8062,0.4729,0.0001,0.0001
"dospívajících,",0.7264,0.3931,0.0001,0.0001
fyzickou,0.7321,0.3988,0.0001,0.0001
tragédie,0.7838,0.4505,0.0001,0.0001
sousedství,0.6983,0.365,0.0001,0.0001
sportovcem,0.7114,0.3781,0.0001,0.0001
zemního,0.725,0.3917,0.0001,0.0001
misi,0.6755,0.3421,0.0001,0.0001
ovlivnila,0.7098,0.3764,0.0001,0.0001
Alternativní,0.6848,0.3514,0.0001,0.0001
Aldous,0.7419,0.4086,0.0001,0.0001
Huxley,0.7419,0.4086,0.0001,0.0001
Greena,0.6881,0.3548,0.0001,0.0001
hereckým,0.6495,0.3162,0.0001,0.0001
kontinentů,0.6448,0.3114,0.0001,0.0001
Harbor,0.6767,0.3433,0.0001,0.0001
Chrissie,0.6329,0.2995,0.0001,0.0001
ptáka,0.6314,0.2981,0.0001,0.0001
Gale,0.6279,0.2945,0.0001,0.0001
růžové,0.6133,0.28,0.0001,0.0001
mladému,0.59,0.2567,0.0001,0.0001
vládních,0.7023,0.3689,0.0001,0.0001
kytaristy,0.6362,0.3029,0.0001,0.0001
"říši,",0.6664,0.3331,0.0001,0.0001
Turnerovou,0.6017,0.2683,0.0001,0.0001
běžec,0.6283,0.295,0.0001,0.0001
Alexis,0.6164,0.2831,0.0001,0.0001
nazvaný,0.5867,0.2533,0.0001,0.0001
pronásledování,0.6371,0.3038,0.0001,0.0001
potomkem,0.6005,0.2671,0.0001,0.0001
způsob,0.5933,0.26,0.0001,0.0001
soudů,0.615,0.2817,0.0001,0.0001
Wymana,0.615,0.2817,0.0001,0.0001
Davisovou,0.615,0.2817,0.0001,0.0001
Lookout,0.625,0.2917,0.0001,0.0001
"NBC,",0.625,0.2917,0.0001,0.0001
přijímat,0.625,0.2917,0.0001,0.0001
Zeta-Jonesová,0.625,0.2917,0.0001,0.0001
propagován,0.6888,0.3555,0.0001,0.0001
asociací,0.661,0.3276,0.0001,0.0001
obklopen,0.62,0.2867,0.0001,0.0001
transatlantické,0.5842,0.2508,0.0001,0.0001
1906,0.6179,0.2845,0.0001,0.0001
Fall,0.6179,0.2845,0.0001,0.0001
řídce,0.6179,0.2845,0.0001,0.0001
dramatizuje,0.6179,0.2845,0.0001,0.0001
premiér,0.5888,0.2555,0.0001,0.0001
"hudby,",0.5533,0.22,0.0001,0.0001
nejnižších,0.63,0.2967,0.0001,0.0001
březnem,0.63,0.2967,0.0001,0.0001
spojence,0.585,0.2517,0.0001,0.0001
každého,0.5538,0.2205,0.0001,0.0001
Revenge,0.6279,0.2945,0.0001,0.0001
dvojčata,0.6121,0.2788,0.0001,0.0001
všemi,0.64,0.3067,0.0001,0.0001
mexického,0.585,0.2517,0.0001,0.0001
Can't,0.5796,0.2463,0.0001,0.0001
1774,0.6329,0.2995,0.0001,0.0001
považoval,0.579,0.2457,0.0001,0.0001
Středního,0.5538,0.2205,0.0001,0.0001
Shore,0.6071,0.2738,0.0001,0.0001
Homer,0.6357,0.3024,0.0001,0.0001
cenné,0.5267,0.1933,0.0001,0.0001
spojeny,0.54,0.2067,0.0001,0.0001
Nelsona,0.55,0.2167,0.0001,0.0001
Destroyer,0.5438,0.2105,0.0001,0.0001
Zájem,0.5405,0.2071,0.0001,0.0001
Koňovité,0.5338,0.2005,0.0001,0.0001
zničení,0.5167,0.1833,0.0001,0.0001
mladém,0.545,0.2117,0.0001,0.0001
konglomerát,0.5143,0.181,0.0001,0.0001
Říše,0.5479,0.2145,0.0001,0.0001
Head,0.5233,0.19,0.0001,0.0001
Matthias,0.5495,0.2162,0.0001,0.0001
Hanksa,0.5,0.1667,0.0001,0.0001
nejstarších,0.5133,0.18,0.0001,0.0001
Johannes,0.5192,0.1858,0.0001,0.0001
Vermeer,0.5192,0.1858,0.0001,0.0001
počáteční,0.5143,0.181,0.0001,0.0001
zaznamenané,0.5267,0.1933,0.0001,0.0001
al-Baghdadi,0.5221,0.1888,0.0001,0.0001
ekonomického,0.5067,0.1733,0.0001,0.0001
dosáhly,0.5067,0.1733,0.0001,0.0001
heroinem,0.5038,0.1705,0.0001,0.0001
Nacistický,0.5005,0.1671,0.0001,0.0001
hovořila,0.5105,0.1771,0.0001,0.0001
zákonů,0.5079,0.1745,0.0001,0.0001
telefonní,0.51,0.1767,0.0001,0.0001
celoživotním,0.6112,0.2779,0.0001,0.0001
počítačového,0.54,0.2067,0.0001,0.0001
Demence,0.5171,0.1838,0.0001,0.0001
Hooper,0.4867,0.1533,0.0001,0.0001
Ligu,0.4838,0.1505,0.0001,0.0001
ukazuje,0.5262,0.1929,0.0001,0.0001
architektonické,0.4771,0.1438,0.0001,0.0001
144,0.5058,0.1725,0.0001,0.0001
kariérní,0.4733,0.14,0.0001,0.0001
výšku,0.529,0.1957,0.0001,0.0001
odstoupil,0.499,0.1657,0.0001,0.0001
20th,0.54,0.2067,0.0001,0.0001
Denní,0.5395,0.2062,0.0001,0.0001
obranného,0.54,0.2067,0.0001,0.0001
Darren,0.5162,0.1829,0.0001,0.0001
Indochinese,0.4942,0.1608,0.0001,0.0001
hity,0.479,0.1457,0.0001,0.0001
Akademii,0.4462,0.1129,0.0001,0.0001
pocit,0.4795,0.1462,0.0001,0.0001
paleolitu,0.4475,0.1142,0.0001,0.0001
zpěváci,0.4533,0.12,0.0001,0.0001
"najat,",0.4533,0.12,0.0001,0.0001
přerušen,0.4795,0.1462,0.0001,0.0001
Cards,0.4267,0.0933,0.0001,0.0001
nazvat,0.4267,0.0933,0.0001,0.0001
Litevci,0.4562,0.1229,0.0001,0.0001
Lights,0.4624,0.129,0.0001,0.0001
Legální,0.43,0.0967,0.0001,0.0001
46,0.4462,0.1129,0.0001,0.0001
Fraud,1.0,0.6667,0.0001,0.0001
Heikegani,1.0,0.6667,0.0001,0.0001
ceremoniál,1.0,0.6667,0.0001,0.0001
maraton,1.0,0.6667,0.0001,0.0001
včela,1.0,0.6667,0.0001,0.0001
O'Bannon,1.0,0.6667,0.0001,0.0001
Moraes,1.0,0.6667,0.0001,0.0001
Ederson,1.0,0.6667,0.0001,0.0001
Kudrowovou,1.0,0.6667,0.0001,0.0001
Gregor,1.0,0.6667,0.0001,0.0001
Sunder,1.0,0.6667,0.0001,0.0001
Gopi,1.0,0.6667,0.0001,0.0001
pasti,1.0,0.6667,0.0001,0.0001
Fahrenheit,1.0,0.6667,0.0001,0.0001
"Studios,",1.0,0.6667,0.0001,0.0001
Hory,1.0,0.6667,0.0001,0.0001
Dominick,1.0,0.6667,0.0001,0.0001
štěně,1.0,0.6667,0.0001,0.0001
Dunne,1.0,0.6667,0.0001,0.0001
Adrian,1.0,0.6667,0.0001,0.0001
Molina,1.0,0.6667,0.0001,0.0001
zhodnotil,1.0,0.6667,0.0001,0.0001
hrobě,1.0,0.6667,0.0001,0.0001
Bandslam,1.0,0.6667,0.0001,0.0001
Luxo,1.0,0.6667,0.0001,0.0001
Jewell,1.0,0.6667,0.0001,0.0001
Gamala,0.8267,0.4933,0.0001,0.0001
gymnastka,0.79,0.4567,0.0001,0.0001
močení,0.7867,0.4533,0.0001,0.0001
Iowě,0.85,0.5167,0.0001,0.0001
Ramona,0.7907,0.4574,0.0001,0.0001
modeluje,0.7775,0.4442,0.0001,0.0001
francouzštinu,0.735,0.4017,0.0001,0.0001
Giancarlo,0.7731,0.4398,0.0001,0.0001
Lenny,0.7298,0.3964,0.0001,0.0001
systémem,0.7283,0.395,0.0001,0.0001
smíšených,0.7283,0.395,0.0001,0.0001
romantika,0.71,0.3767,0.0001,0.0001
inspiraci,0.8252,0.4919,0.0001,0.0001
slávu,0.7517,0.4183,0.0001,0.0001
čeledi,0.7329,0.3995,0.0001,0.0001
kabinetu,0.7121,0.3788,0.0001,0.0001
obhájce,0.8033,0.47,0.0001,0.0001
Women,0.6714,0.3381,0.0001,0.0001
soundtracku,0.7038,0.3705,0.0001,0.0001
této,0.6605,0.3271,0.0001,0.0001
Pajitnov,0.6721,0.3388,0.0001,0.0001
Alexey,0.6721,0.3388,0.0001,0.0001
spolumajitelem,0.6333,0.3,0.0001,0.0001
pohádky,0.6383,0.305,0.0001,0.0001
Pont,0.6264,0.2931,0.0001,0.0001
hop,0.6867,0.3533,0.0001,0.0001
Coenové,0.62,0.2867,0.0001,0.0001
1843,0.6471,0.3138,0.0001,0.0001
Počátek,0.625,0.2917,0.0001,0.0001
Historické,0.6571,0.3238,0.0001,0.0001
Alanem,0.6771,0.3438,0.0001,0.0001
programech,0.6521,0.3188,0.0001,0.0001
Doc,0.5898,0.2564,0.0001,0.0001
"lidé,",0.6331,0.2998,0.0001,0.0001
produkované,0.6088,0.2755,0.0001,0.0001
Stacey,0.635,0.3017,0.0001,0.0001
Hannoveru,0.635,0.3017,0.0001,0.0001
Blades,0.635,0.3017,0.0001,0.0001
zřízena,0.6317,0.2983,0.0001,0.0001
Stanleyho,0.64,0.3067,0.0001,0.0001
Songs,0.64,0.3067,0.0001,0.0001
stáhl,0.64,0.3067,0.0001,0.0001
transgender,0.6721,0.3388,0.0001,0.0001
Rise,0.635,0.3017,0.0001,0.0001
infekce,0.635,0.3017,0.0001,0.0001
vozu,0.641,0.3076,0.0001,0.0001
Champion,0.6155,0.2821,0.0001,0.0001
popisy,0.645,0.3117,0.0001,0.0001
Fidelity,0.645,0.3117,0.0001,0.0001
okraje,0.645,0.3117,0.0001,0.0001
beta,0.645,0.3117,0.0001,0.0001
logo,0.6005,0.2671,0.0001,0.0001
Jupiter,0.6771,0.3438,0.0001,0.0001
Kocovina,0.6121,0.2788,0.0001,0.0001
trhům,0.5863,0.253,0.0001,0.0001
vyloučil,0.6479,0.3145,0.0001,0.0001
sedmnácti,0.6479,0.3145,0.0001,0.0001
Rakoviny,0.5717,0.2383,0.0001,0.0001
Duhamela,0.5748,0.2414,0.0001,0.0001
špionážním,0.581,0.2476,0.0001,0.0001
gramofon,0.5533,0.22,0.0001,0.0001
Dreamville,0.6455,0.3121,0.0001,0.0001
grunge,0.5452,0.2119,0.0001,0.0001
amfiteátr,0.5338,0.2005,0.0001,0.0001
rozsáhlé,0.5433,0.21,0.0001,0.0001
vyučoval,0.5267,0.1933,0.0001,0.0001
Cruel,0.5755,0.2421,0.0001,0.0001
Egejském,0.5443,0.211,0.0001,0.0001
Royale,0.576,0.2426,0.0001,0.0001
cestovním,0.5238,0.1905,0.0001,0.0001
trofeje,0.5605,0.2271,0.0001,0.0001
Mediny,0.5319,0.1986,0.0001,0.0001
Rouge,0.5138,0.1805,0.0001,0.0001
"klub,",0.5233,0.19,0.0001,0.0001
proudové,0.5338,0.2005,0.0001,0.0001
předpisů,0.5305,0.1971,0.0001,0.0001
generaci,0.5305,0.1971,0.0001,0.0001
obrovské,0.5292,0.1958,0.0001,0.0001
Hitchcockem,0.5243,0.191,0.0001,0.0001
"proces,",0.6757,0.3424,0.0001,0.0001
námořník,0.5381,0.2048,0.0001,0.0001
domorodými,0.5114,0.1781,0.0001,0.0001
Více,0.5305,0.1971,0.0001,0.0001
občané,0.5583,0.225,0.0001,0.0001
královského,0.5138,0.1805,0.0001,0.0001
vlivy,0.5333,0.2,0.0001,0.0001
Abrahama,0.4867,0.1533,0.0001,0.0001
svazem,0.5512,0.2179,0.0001,0.0001
provokativní,0.4776,0.1443,0.0001,0.0001
viděla,0.4883,0.155,0.0001,0.0001
Masona,0.5262,0.1929,0.0001,0.0001
64,0.49,0.1567,0.0001,0.0001
Burt,0.5129,0.1795,0.0001,0.0001
drogovou,0.4667,0.1333,0.0001,0.0001
Zbraně,0.4967,0.1633,0.0001,0.0001
rozpadá,0.4971,0.1638,0.0001,0.0001
October,0.4767,0.1433,0.0001,0.0001
utrpěl,0.5179,0.1845,0.0001,0.0001
Louie,0.5062,0.1729,0.0001,0.0001
nepamatuje,0.4733,0.14,0.0001,0.0001
AFI,0.4733,0.14,0.0001,0.0001
německou,0.45,0.1167,0.0001,0.0001
mraků,0.5329,0.1995,0.0001,0.0001
Six,0.4833,0.15,0.0001,0.0001
